Suburb,Address,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Buildingage,Pricepermeterland,Pricepermeterbuilding,Priceperbedroom,Priceperdistance
Newport,13 Holland Ct,2,h,895000,S,24/02/2018,6.2,3015,2,2,2,152,,2012,Hobsons Bay City Council,-37.84792,144.89288,Western Metropolitan,5498,9,5888.157895, ,447500,144354.8387
Newport,71 Mason St,3,h,860000,S,24/02/2018,6.2,3015,3,1,1,418,,,Hobsons Bay City Council,-37.84209,144.87786,Western Metropolitan,5498, ,2057.416268, ,286666.6667,138709.6774
Newport,15 Steele St,4,h,1150000,S,24/02/2018,6.2,3015,4,2,1,418,158,1940,Hobsons Bay City Council,-37.83916,144.88168,Western Metropolitan,5498,81,2751.196172,7278.481013,287500,185483.871
Newport,45 Woods St,3,h,1237500,S,24/02/2018,6.2,3015,3,1,3,505,134,1930,Hobsons Bay City Council,-37.84589,144.8768,Western Metropolitan,5498,91,2450.49505,9235.074627,412500,199596.7742
Niddrie,94 Hotham Rd,3,h,920000,PI,24/02/2018,10.4,3042,3,1,5,534,123,1950,Moonee Valley City Council,-37.7347,144.88021,Western Metropolitan,2291,71,1722.846442,7479.674797,306666.6667,88461.53846
Niddrie,17 Ryder St,3,h,1135000,S,24/02/2018,10.4,3042,3,1,1,621,105,1950,Moonee Valley City Council,-37.73771,144.88654,Western Metropolitan,2291,71,1827.697262,10809.52381,378333.3333,109134.6154
Northcote,13 Charles St,2,h,1050000,PI,24/02/2018,5.3,3070,2,1,1,199,,1900,Darebin City Council,-37.77649,144.99057,Northern Metropolitan,11364,121,5276.38191, ,525000,198113.2075
Northcote,77 Gladstone Av,2,h,1266000,SP,24/02/2018,5.3,3070,2,1,,192,108,1910,Darebin City Council,-37.76558,144.99474,Northern Metropolitan,11364,111,6593.75,11722.22222,633000,238867.9245
Northcote,16 Helen St,4,h,1930000,SP,24/02/2018,5.3,3070,4,2,,296,193,1880,Darebin City Council,-37.77326,144.99688,Northern Metropolitan,11364,141,6520.27027,10000,482500,364150.9434
Northcote,8 Main St,2,h,1380000,S,24/02/2018,5.3,3070,2,1,2,377,,,Darebin City Council,-37.77331,145.0158,Northern Metropolitan,11364, ,3660.477454, ,690000,260377.3585
Northcote,26 Plant St,4,h,1950000,VB,24/02/2018,5.3,3070,4,1,2,581,112,1910,Darebin City Council,-37.77826,144.99994,Northern Metropolitan,11364,111,3356.282272,17410.71429,487500,367924.5283
Northcote,82 Thomson St,4,h,1822000,S,24/02/2018,5.3,3070,4,1,3,479,,,Darebin City Council,-37.78078,145.01297,Northern Metropolitan,11364, ,3803.757829, ,455500,343773.5849
Northcote,3 Vauxhall Rd,4,h,2190000,S,24/02/2018,5.3,3070,4,2,2,516,,,Darebin City Council,-37.77812,145.01137,Northern Metropolitan,11364, ,4244.186047, ,547500,413207.5472
Nunawading,9 Nott St,3,t,900000,SA,24/02/2018,15.4,3131,3,1,1,226,136,2012,Manningham City Council,-37.82865,145.18624,Eastern Metropolitan,4973,9,3982.300885,6617.647059,300000,58441.55844
Oak Park,4 Draska Ct,3,h,790000,VB,24/02/2018,11.2,3046,3,2,2,540,155,,Moreland City Council,-37.71425,144.9053,Northern Metropolitan,2651, ,1462.962963,5096.774194,263333.3333,70535.71429
Oakleigh,4 Best St,4,h,1580000,S,24/02/2018,12.3,3166,4,2,2,508,170,1950,Monash City Council,-37.90817,145.09214,Southern Metropolitan,3224,71,3110.23622,9294.117647,395000,128455.2846
Oakleigh East,59 Carmichael Rd,3,h,1180000,S,24/02/2018,12.3,3166,3,1,2,711,,,Monash City Council,-37.90258,145.11249,Southern Metropolitan,2547, ,1659.634318, ,393333.3333,95934.95935
Ormond,37 Dalmor Av,3,h,1620000,S,24/02/2018,11.4,3204,3,2,2,635,,,Glen Eira City Council,-37.90066,145.03858,Southern Metropolitan,3578, ,2551.181102, ,540000,142105.2632
Pascoe Vale,2 Heathcote St,3,h,1006000,S,24/02/2018,8.5,3044,3,1,3,661,,,Moreland City Council,-37.722,144.94637,Northern Metropolitan,7485, ,1521.93646, ,335333.3333,118352.9412
Pascoe Vale,18 Kevin St,4,h,1300000,VB,24/02/2018,8.5,3044,4,2,2,424,319,1998,Moreland City Council,-37.73344,144.94372,Northern Metropolitan,7485,23,3066.037736,4075.23511,325000,152941.1765
Pascoe Vale,45 Pleasant St,3,h,1040000,S,24/02/2018,8.5,3044,3,1,2,641,,,Moreland City Council,-37.72714,144.93421,Northern Metropolitan,7485, ,1622.464899, ,346666.6667,122352.9412
Pascoe Vale,21 Tangyes St,4,h,860000,S,24/02/2018,8.5,3044,4,1,1,403,128,1959,Moreland City Council,-37.72644,144.9445,Northern Metropolitan,7485,62,2133.995037,6718.75,215000,101176.4706
Port Melbourne,142 Beach St,4,h,2300000,PI,24/02/2018,3.5,3207,4,2,2,376,,,Melbourne City Council,-37.83915,144.92697,Southern Metropolitan,8648, ,6117.021277, ,575000,657142.8571
Port Melbourne,243 Graham St,2,h,1150000,VB,24/02/2018,3.5,3207,2,1,1,148,71,1910,Melbourne City Council,-37.8393,144.93858,Southern Metropolitan,8648,111,7770.27027,16197.1831,575000,328571.4286
Port Melbourne,11 Morley St,3,h,1735000,SP,24/02/2018,3.5,3207,3,2,2,208,158,1998,Melbourne City Council,-37.83868,144.93181,Southern Metropolitan,8648,23,8341.346154,10981.01266,578333.3333,495714.2857
Prahran,61 Murray St,3,h,2500000,VB,24/02/2018,4.6,3181,3,2,2,330,175,1900,Stonnington City Council,-37.85047,145.00206,Southern Metropolitan,7717,121,7575.757576,14285.71429,833333.3333,543478.2609
Prahran,18 Park Rd,3,h,1460000,PI,24/02/2018,4.6,3181,,,,,,,Stonnington City Council,-37.85258,145.0071,Southern Metropolitan,7717, , , ,#DIV/0!,317391.3043
Preston,5A Carlisle St,3,t,840000,S,24/02/2018,8.4,3072,3,3,2,105,,,Darebin City Council,-37.75276,145.01048,Northern Metropolitan,14577, ,8000, ,280000,100000
Preston,4 Evelyn St,5,h,1570000,SP,24/02/2018,8.4,3072,5,3,2,564,317,1935,Darebin City Council,-37.7374,144.99115,Northern Metropolitan,14577,86,2783.687943,4952.681388,314000,186904.7619
Preston,260 Gilbert Rd,4,h,1495000,PI,24/02/2018,8.4,3072,4,1,3,653,197,1935,Darebin City Council,-37.74189,144.98967,Northern Metropolitan,14577,86,2289.433384,7588.832487,373750,177976.1905
Preston,37 Gordon Gr,3,h,950000,PI,24/02/2018,8.4,3072,3,1,2,557,,1950,Darebin City Council,-37.73666,145.02013,Northern Metropolitan,14577,71,1705.56553, ,316666.6667,113095.2381
Preston,2 Hawker Av,4,h,1530000,PI,24/02/2018,8.4,3072,4,2,4,695,,,Darebin City Council,-37.73159,145.01368,Northern Metropolitan,14577, ,2201.438849, ,382500,182142.8571
Preston,85 Youngman St,3,h,880000,PI,24/02/2018,8.4,3072,3,1,2,397,,,Darebin City Council,-37.73527,145.00584,Northern Metropolitan,14577, ,2216.624685, ,293333.3333,104761.9048
Preston,93 Youngman St,4,h,1300000,PI,24/02/2018,8.4,3072,4,3,1,395,,1922,Darebin City Council,-37.73522,145.00532,Northern Metropolitan,14577,99,3291.139241, ,325000,154761.9048
Reservoir,29 Broadhurst Av,4,h,950000,S,24/02/2018,12,3073,4,2,2,857,,,Darebin City Council,-37.70869,145.00526,Northern Metropolitan,21650, ,1108.518086, ,237500,79166.66667
Reservoir,11 Chenies St,4,h,785000,PI,24/02/2018,12,3073,4,2,3,700,,,Darebin City Council,-37.71107,145.02887,Northern Metropolitan,21650, ,1121.428571, ,196250,65416.66667
Reservoir,61 Darebin Bvd,3,h,935000,S,24/02/2018,12,3073,3,1,2,892,,,Darebin City Council,-37.70353,145.02653,Northern Metropolitan,21650, ,1048.206278, ,311666.6667,77916.66667
Reservoir,37 Gilbank St,3,h,1285000,S,24/02/2018,12,3073,3,2,2,551,134,1950,Darebin City Council,-37.72381,144.99419,Northern Metropolitan,21650,71,2332.123412,9589.552239,428333.3333,107083.3333
Richmond,104 Bendigo St,2,h,1185000,S,24/02/2018,2.4,3121,2,1,0,124,72,1915,Yarra City Council,-37.82668,145.01145,Northern Metropolitan,14949,106,9556.451613,16458.33333,592500,493750
Richmond,39 Gipps St,3,h,1777500,S,24/02/2018,2.4,3121,3,1,,113,140,1880,Yarra City Council,-37.82357,144.99697,Northern Metropolitan,14949,141,15730.0885,12696.42857,592500,740625
Richmond,109 Lord St,2,h,925000,PI,24/02/2018,2.4,3121,2,1,,147,,,Yarra City Council,-37.82364,145.00456,Northern Metropolitan,14949, ,6292.517007, ,462500,385416.6667
Richmond,12 Waltham St,3,h,1930000,SP,24/02/2018,2.4,3121,3,2,1,248,141,1930,Yarra City Council,-37.81952,144.99673,Northern Metropolitan,14949,91,7782.258065,13687.94326,643333.3333,804166.6667
Ringwood,49B Ford St,3,t,845000,S,24/02/2018,19.9,3134,3,2,2,275,139,2003,Maroondah City Council,-37.82144,145.2358,Eastern Metropolitan,7785,18,3072.727273,6079.136691,281666.6667,42462.31156
Ringwood,7A Hobart St,3,t,1110000,SP,24/02/2018,19.9,3134,3,2,2,427,,,Maroondah City Council,-37.80435,145.23259,Eastern Metropolitan,7785, ,2599.531616, ,370000,55778.89447
Ringwood East,9 Bronhill Rd,3,h,830000,S,24/02/2018,21.3,3135,3,1,1,674,108,1970,Maroondah City Council,-37.79779,145.25674,Eastern Metropolitan,4407,51,1231.454006,7685.185185,276666.6667,38967.13615
Ringwood North,37 Through Rd,3,h,991888,S,24/02/2018,19.9,3134,3,1,2,1040,,,Manningham City Council,-37.79863,145.22997,Eastern Metropolitan,3619, ,953.7384615, ,330629.3333,49843.61809
Rowville,21 Dalmatia Ct,4,h,981000,SP,24/02/2018,23.5,3178,4,2,2,649,649,,Knox City Council,-37.93299,145.25393,South-Eastern Metropolitan,11667, ,1511.55624,1511.55624,245250,41744.68085
Rowville,19 Ling Dr,4,h,920000,SP,24/02/2018,23.5,3178,4,2,2,727,218,1990,Knox City Council,-37.92628,145.24259,South-Eastern Metropolitan,11667,31,1265.474553,4220.183486,230000,39148.93617
Rowville,1378 Stud Rd,5,h,1055000,S,24/02/2018,23.5,3178,5,4,2,588,,,Knox City Council,-37.94117,145.23012,South-Eastern Metropolitan,11667, ,1794.217687, ,211000,44893.61702
Sandringham,3 Carew St,2,h,1790000,S,24/02/2018,15.2,3191,2,1,1,492,,,Bayside City Council,-37.94527,145.00388,Southern Metropolitan,4497, ,3638.211382, ,895000,117763.1579
Sandringham,70 Grange Rd,3,t,1450000,S,24/02/2018,15.2,3191,3,2,2,395,,2000,Bayside City Council,-37.94882,145.01879,Southern Metropolitan,4497,21,3670.886076, ,483333.3333,95394.73684
Scoresby,103 Berrabri Dr,4,h,1358000,S,24/02/2018,22.2,3179,4,4,2,658,105,1975,Knox City Council,-37.89237,145.22191,Eastern Metropolitan,2206,46,2063.829787,12933.33333,339500,61171.17117
Seaholme,66 Waters Dr,3,h,850000,SP,24/02/2018,11,3018,3,1,2,539,,,Hobsons Bay City Council,-37.85994,144.84896,Western Metropolitan,852, ,1576.994434, ,283333.3333,77272.72727
Seddon,5 Seddon St,2,h,1120000,SP,24/02/2018,5.1,3011,2,1,0,177,,,Maribyrnong City Council,-37.80857,144.88963,Western Metropolitan,2417, ,6327.683616, ,560000,219607.8431
South Melbourne,219 Cecil St,3,h,1750000,S,24/02/2018,1.9,3205,3,1,1,104,133,1890,Port Phillip City Council,-37.83649,144.95965,Southern Metropolitan,5943,131,16826.92308,13157.89474,583333.3333,921052.6316
South Melbourne,445 Clarendon St,3,h,1720000,S,24/02/2018,1.9,3205,3,2,,131,187,1890,Port Phillip City Council,-37.83811,144.9632,Southern Metropolitan,5943,131,13129.77099,9197.860963,573333.3333,905263.1579
South Melbourne,70 Nelson Rd,4,h,1840000,S,24/02/2018,1.9,3205,4,3,2,443,,1877,Port Phillip City Council,-37.83524,144.95211,Southern Metropolitan,5943,144,4153.498871, ,460000,968421.0526
South Yarra,1 Moore St,3,h,1720000,PI,24/02/2018,2.7,3141,3,2,1,277,161,1895,Melbourne City Council,-37.8457,144.98871,Southern Metropolitan,14887,126,6209.386282,10683.22981,573333.3333,637037.037
South Yarra,54 Oban St,3,h,2855000,PI,24/02/2018,2.7,3141,3,2,1,298,,,Melbourne City Council,-37.84299,145.00298,Southern Metropolitan,14887, ,9580.536913, ,951666.6667,1057407.407
Spotswood,7A Ferguson St,4,h,895000,VB,24/02/2018,6.2,3015,4,2,2,367,186,2006,Hobsons Bay City Council,-37.82529,144.87296,Western Metropolitan,1223,15,2438.692098,4811.827957,223750,144354.8387
St Albans,63 Lovell Dr,4,h,676000,S,24/02/2018,14,3021,4,2,1,564,,,Brimbank City Council,-37.76454,144.80611,Western Metropolitan,14042, ,1198.58156, ,169000,48285.71429
St Albans,1 Mark St,3,h,641000,S,24/02/2018,14,3021,3,2,2,597,132,1970,Brimbank City Council,-37.74143,144.78145,Western Metropolitan,14042,51,1073.701843,4856.060606,213666.6667,45785.71429
St Albans,1/1 Station Av,3,t,520000,PI,24/02/2018,14,3021,3,2,2,240,134,2007,Brimbank City Council,-37.74207,144.81215,Western Metropolitan,14042,14,2166.666667,3880.597015,173333.3333,37142.85714
St Albans,139 Taylors Rd,4,h,680000,S,24/02/2018,14,3021,4,1,1,591,,,Brimbank City Council,-37.72834,144.79987,Western Metropolitan,14042, ,1150.592217, ,170000,48571.42857
St Albans,6A Thorndon Dr,3,h,635000,PI,24/02/2018,14,3021,3,2,1,611,113,1975,Brimbank City Council,-37.7496,144.80748,Western Metropolitan,14042,46,1039.279869,5619.469027,211666.6667,45357.14286
St Kilda,9A Neptune St,2,h,920000,S,24/02/2018,5,3182,2,1,1,120,82,1980,Port Phillip City Council,-37.86339,144.97856,Southern Metropolitan,13240,41,7666.666667,11219.5122,460000,184000
Strathmore,73 Kernan St,4,h,1540000,VB,24/02/2018,8.2,3041,4,3,2,607,,,Moonee Valley City Council,-37.73638,144.91192,Western Metropolitan,3284, ,2537.067545, ,385000,187804.878
Strathmore,70 Lebanon St,4,h,1480000,PI,24/02/2018,8.2,3041,4,1,2,686,335,2009,Moonee Valley City Council,-37.72732,144.91582,Western Metropolitan,3284,12,2157.434402,4417.910448,370000,180487.8049
Strathmore,10 Magdala Av,4,h,2200000,S,24/02/2018,8.2,3041,4,2,2,665,,,Moonee Valley City Council,-37.74083,144.91358,Western Metropolitan,3284, ,3308.270677, ,550000,268292.6829
Strathmore,46 Roland Av,4,h,1000000,PI,24/02/2018,8.2,3041,4,2,2,602,,,Moonee Valley City Council,-37.73324,144.91396,Western Metropolitan,3284, ,1661.129568, ,250000,121951.2195
Sunshine,14 Alfred St,4,h,1237500,S,24/02/2018,10.5,3020,4,2,7,744,,,Brimbank City Council,-37.79227,144.84269,Western Metropolitan,3755, ,1663.306452, ,309375,117857.1429
Sunshine,8 Leonard St,3,h,950000,PI,24/02/2018,10.5,3020,3,1,2,515,105,1940,Brimbank City Council,-37.78057,144.83543,Western Metropolitan,3755,81,1844.660194,9047.619048,316666.6667,90476.19048
Sunshine,91 Monash St,5,h,1075000,S,24/02/2018,10.5,3020,5,1,2,542,,,Brimbank City Council,-37.78923,144.83644,Western Metropolitan,3755, ,1983.394834, ,215000,102380.9524
Sunshine North,7 Busch St,3,h,700000,PI,24/02/2018,10.5,3020,3,2,0,526,103,1920,Brimbank City Council,-37.76753,144.83462,Western Metropolitan,4217,101,1330.798479,6796.116505,233333.3333,66666.66667
Sunshine North,10 Furlong Rd,3,h,503000,S,24/02/2018,10.5,3020,3,1,2,533,,1960,Brimbank City Council,-37.76236,144.83001,Western Metropolitan,4217,61,943.7148218, ,167666.6667,47904.7619
Sunshine North,40 Warwick Rd,3,h,890000,S,24/02/2018,10.5,3020,3,2,2,695,153,2018,Brimbank City Council,-37.76883,144.83974,Western Metropolitan,4217,3,1280.57554,5816.993464,296666.6667,84761.90476
Sunshine North,31 Westmoreland Rd,3,h,830000,S,24/02/2018,10.5,3020,3,1,3,585,,,Brimbank City Council,-37.77467,144.8349,Western Metropolitan,4217, ,1418.803419, ,276666.6667,79047.61905
Sunshine North,11A Wiltshire St,3,h,650000,VB,24/02/2018,10.5,3020,3,1,1,313,,,Brimbank City Council,-37.77543,144.84617,Western Metropolitan,4217, ,2076.677316, ,216666.6667,61904.7619
Sunshine West,9 Carter St,2,h,740000,PI,24/02/2018,10.5,3020,2,1,0,698,,,Brimbank City Council,-37.78884,144.81455,Western Metropolitan,6763, ,1060.17192, ,370000,70476.19048
Sunshine West,13 Ingram Av,3,h,580000,PI,24/02/2018,10.5,3020,3,1,2,745,,,Brimbank City Council,-37.79726,144.81038,Western Metropolitan,6763, ,778.5234899, ,193333.3333,55238.09524
Sydenham,3 Steamtrain Cl,5,h,683000,S,24/02/2018,18,3037,5,2,2,730,179,1997,Brimbank City Council,-37.70087,144.76789,Western Metropolitan,3640,24,935.6164384,3815.642458,136600,37944.44444
Taylors Lakes,7 Brusell Cl,4,h,1226000,S,24/02/2018,15.5,3038,4,2,2,769,262,,Brimbank City Council,-37.68803,144.78341,Western Metropolitan,5336, ,1594.278283,4679.389313,306500,79096.77419
Taylors Lakes,5 Hanslow Wy,4,h,810000,S,24/02/2018,15.5,3038,4,2,2,726,,,Brimbank City Council,-37.70823,144.78192,Western Metropolitan,5336, ,1115.702479, ,202500,52258.06452
Templestowe,14 Matisse Dr,4,h,1316000,S,24/02/2018,15.5,3106,4,2,2,548,,,Manningham City Council,-37.76206,145.1639,Eastern Metropolitan,6202, ,2401.459854, ,329000,84903.22581
Templestowe Lower,24 Bilby St,4,h,1030000,S,24/02/2018,12.4,3107,4,2,3,668,138,1972,Manningham City Council,-37.76291,145.11352,Eastern Metropolitan,5420,49,1541.916168,7463.768116,257500,83064.51613
Templestowe Lower,4 Roma Ct,5,h,1350000,PI,24/02/2018,12.4,3107,5,2,2,805,250,1980,Manningham City Council,-37.76985,145.11006,Eastern Metropolitan,5420,41,1677.018634,5400,270000,108870.9677
Thornbury,63a Clarendon St,3,t,1400000,PI,24/02/2018,7,3071,3,2,2,219,180,2016,Darebin City Council,-37.75982,145.0045,Northern Metropolitan,8870,5,6392.694064,7777.777778,466666.6667,200000
Thornbury,41 Gooch St,2,h,1105000,S,24/02/2018,7,3071,2,1,,193,102,1930,Darebin City Council,-37.75813,145.00362,Northern Metropolitan,8870,91,5725.388601,10833.33333,552500,157857.1429
Thornbury,98 Hutton St,3,h,1200000,VB,24/02/2018,7,3071,3,1,1,393,98,1920,Darebin City Council,-37.75468,144.98959,Northern Metropolitan,8870,101,3053.435115,12244.89796,400000,171428.5714
Thornbury,111 Keon St,3,h,1605500,S,24/02/2018,7,3071,3,2,2,376,140,1925,Darebin City Council,-37.75184,144.98584,Northern Metropolitan,8870,96,4269.946809,11467.85714,535166.6667,229357.1429
Thornbury,146 Mansfield St,3,h,1000000,S,24/02/2018,7,3071,3,1,1,353,104,1920,Darebin City Council,-37.75762,145.01134,Northern Metropolitan,8870,101,2832.86119,9615.384615,333333.3333,142857.1429
Toorak,80A Mathoura Rd,2,t,1025000,SA,24/02/2018,4.1,3142,2,1,1,694,,,Stonnington City Council,-37.84244,145.00816,Southern Metropolitan,7217, ,1476.945245, ,512500,250000
Vermont,19 Caldwell Rd,4,h,900000,VB,24/02/2018,17.2,3133,4,1,1,630,,,Maroondah City Council,-37.83473,145.21116,Eastern Metropolitan,4181, ,1428.571429, ,225000,52325.5814
Vermont South,28 Hartland Rd,3,h,1170000,S,24/02/2018,17.2,3133,3,2,4,832,209,1976,Whitehorse City Council,-37.85973,145.18223,Eastern Metropolitan,4280,45,1406.25,5598.086124,390000,68023.25581
Wantirna,35 Ainsdale Av,3,h,755000,S,24/02/2018,14.7,3152,3,1,2,701,,,Knox City Council,-37.85133,145.2304,Eastern Metropolitan,5424, ,1077.03281, ,251666.6667,51360.54422
Wantirna,454 Mountain Hwy,3,h,765000,S,24/02/2018,14.7,3152,3,1,2,734,,,Knox City Council,-37.84513,145.24231,Eastern Metropolitan,5424, ,1042.234332, ,255000,52040.81633
Warranwood,17 Tanbridge Wy,4,h,1050000,SP,24/02/2018,19.9,3134,4,2,2,921,,,Maroondah City Council,-37.76889,145.25194,Eastern Metropolitan,1595, ,1140.065147, ,262500,52763.8191
West Footscray,510 Barkly St,4,h,832000,S,24/02/2018,6.4,3012,4,1,1,219,113,1910,Maribyrnong City Council,-37.79761,144.88053,Western Metropolitan,5058,111,3799.086758,7362.831858,208000,130000
West Footscray,13 Barton St,4,h,1096000,S,24/02/2018,6.4,3012,4,1,3,368,,,Maribyrnong City Council,-37.79152,144.87277,Western Metropolitan,5058, ,2978.26087, ,274000,171250
West Footscray,30 Gwelo St,3,h,900000,PI,24/02/2018,6.4,3012,3,1,2,460,112,1940,Maribyrnong City Council,-37.80139,144.86458,Western Metropolitan,5058,81,1956.521739,8035.714286,300000,140625
West Melbourne,122 Railway Pl,3,t,1150000,S,24/02/2018,3.1,3003,3,2,2,678,,,Melbourne City Council,-37.80787,144.94334,Northern Metropolitan,2230, ,1696.165192, ,383333.3333,370967.7419
Wheelers Hill,45 Chancellor Dr,4,h,936000,S,24/02/2018,16.7,3150,4,2,2,770,,,Monash City Council,-37.91637,145.18062,South-Eastern Metropolitan,7392, ,1215.584416, ,234000,56047.90419
Wheelers Hill,9 Walden Av,5,h,1400000,S,24/02/2018,16.7,3150,5,2,2,739,293,1980,Monash City Council,-37.89304,145.18475,South-Eastern Metropolitan,7392,41,1894.451962,4778.156997,280000,83832.33533
Williamstown,13 Kingshott Cl,5,h,2020000,S,24/02/2018,6.8,3016,5,3,2,450,241,2015,Hobsons Bay City Council,-37.8618,144.87855,Western Metropolitan,6380,6,4488.888889,8381.742739,404000,297058.8235
Williamstown,5 Thompson St,2,h,940000,VB,24/02/2018,6.8,3016,2,2,1,122,,1999,Hobsons Bay City Council,-37.86396,144.90541,Western Metropolitan,6380,22,7704.918033, ,470000,138235.2941
Williamstown,34 Twyford St,3,h,1400000,SP,24/02/2018,6.8,3016,3,2,,325,158,1995,Hobsons Bay City Council,-37.86871,144.90124,Western Metropolitan,6380,26,4307.692308,8860.759494,466666.6667,205882.3529
Williamstown North,32 Edina St,3,h,830000,S,24/02/2018,6.8,3016,3,1,2,345,,1949,Hobsons Bay City Council,-37.85545,144.88118,Western Metropolitan,802,72,2405.797101, ,276666.6667,122058.8235
Yarraville,78 Bayview Rd,3,h,1101000,S,24/02/2018,6.3,3013,3,1,,288,,,Maribyrnong City Council,-37.81095,144.88516,Western Metropolitan,6543, ,3822.916667, ,367000,174761.9048
Yarraville,13 Burns St,4,h,1480000,PI,24/02/2018,6.3,3013,4,1,3,593,,,Maribyrnong City Council,-37.81053,144.88467,Western Metropolitan,6543, ,2495.784148, ,370000,234920.6349
Yarraville,29A Murray St,2,h,888000,SP,24/02/2018,6.3,3013,2,2,1,98,104,2018,Maribyrnong City Council,-37.81551,144.88826,Western Metropolitan,6543,3,9061.22449,8538.461538,444000,140952.381
Yarraville,147A Severn St,2,t,705000,S,24/02/2018,6.3,3013,2,1,2,220,120,2000,Maribyrnong City Council,-37.82286,144.87856,Western Metropolitan,6543,21,3204.545455,5875,352500,111904.7619
Yarraville,3 Tarrengower St,2,h,1020000,PI,24/02/2018,6.3,3013,2,1,0,250,103,1930,Maribyrnong City Council,-37.8181,144.89351,Western Metropolitan,6543,91,4080,9902.912621,510000,161904.7619
Airport West,91a Marshall Rd,3,h,890000,SP,3/03/2018,10.4,3042,3,2,1,306,,,Moonee Valley City Council,-37.71716,144.8837,Western Metropolitan,3464, ,2908.496732, ,296666.6667,85576.92308
Airport West,8 McNamara Av,3,h,975000,S,3/03/2018,10.4,3042,3,2,1,303,248,2017,Moonee Valley City Council,-37.73174,144.88086,Western Metropolitan,3464,4,3217.821782,3931.451613,325000,93750
Airport West,38a North St,3,t,891000,S,3/03/2018,10.4,3042,3,2,2,314,160,2017,Moonee Valley City Council,-37.71968,144.87756,Western Metropolitan,3464,4,2837.579618,5568.75,297000,85673.07692
Albert Park,103 Ashworth St,3,h,1650000,S,3/03/2018,3,3206,3,2,0,134,,,Port Phillip City Council,-37.84937,144.95414,Southern Metropolitan,3280, ,12313.43284, ,550000,550000
Alphington,510 Heidelberg Rd,4,h,1480000,SP,3/03/2018,5.7,3078,4,1,2,574,,,Darebin City Council,-37.78292,145.0206,Northern Metropolitan,2211, ,2578.397213, ,370000,259649.1228
Alphington,26 Lucerne Cr,4,h,2420000,PI,3/03/2018,5.7,3078,4,2,3,1134,,1962,Darebin City Council,-37.78598,145.03305,Northern Metropolitan,2211,59,2134.038801, ,605000,424561.4035
Altona,84 Queen St,3,h,1815000,S,3/03/2018,11,3018,3,2,2,690,,,Hobsons Bay City Council,-37.87025,144.83385,Western Metropolitan,5301, ,2630.434783, ,605000,165000
Altona Meadows,2 Lewin Ct,3,h,600000,S,3/03/2018,15.5,3028,3,2,1,479,,,Hobsons Bay City Council,-37.87502,144.77956,Western Metropolitan,7630, ,1252.609603, ,200000,38709.67742
Altona North,146 McIntosh Rd,3,h,700000,SP,3/03/2018,9.4,3025,3,1,2,441,107,1975,Hobsons Bay City Council,-37.8454,144.84711,Western Metropolitan,5132,46,1587.301587,6542.056075,233333.3333,74468.08511
Ardeer,27 Helene St,4,h,624000,S,3/03/2018,12.8,3022,4,1,4,601,153,1970,Brimbank City Council,-37.77881,144.80431,Western Metropolitan,1281,51,1038.269551,4078.431373,156000,48750
Ascot Vale,163 The Parade,3,h,1050000,VB,3/03/2018,4.3,3032,3,1,1,272,101,1910,Moonee Valley City Council,-37.77202,144.90731,Western Metropolitan,6567,111,3860.294118,10396.0396,350000,244186.0465
Avondale Heights,2 Raglan St,3,h,904000,S,3/03/2018,9.5,3034,3,1,2,604,,,Moonee Valley City Council,-37.76978,144.86273,Western Metropolitan,4502, ,1496.688742, ,301333.3333,95157.89474
Avondale Heights,28 Robson Av,3,h,680000,S,3/03/2018,9.5,3034,3,2,1,321,,,Moonee Valley City Council,-37.76658,144.85874,Western Metropolitan,4502, ,2118.380062, ,226666.6667,71578.94737
Avondale Heights,14 Skewes St,3,h,725000,S,3/03/2018,9.5,3034,3,1,1,581,,,Moonee Valley City Council,-37.76038,144.85798,Western Metropolitan,4502, ,1247.848537, ,241666.6667,76315.78947
Beaumaris,17 Bodley St,4,t,1820000,SP,3/03/2018,17.3,3193,4,2,3,353,252,2010,Bayside City Council,-37.9904,145.03871,Southern Metropolitan,5366,11,5155.807365,7222.222222,455000,105202.3121
Beaumaris,14 Cannes Gr,4,h,1645000,S,3/03/2018,17.3,3193,4,2,2,646,260,2006,Bayside City Council,-37.97559,145.04546,Southern Metropolitan,5366,15,2546.439628,6326.923077,411250,95086.7052
Beaumaris,61 Cromer Rd,3,h,1674000,S,3/03/2018,17.3,3193,3,1,2,759,,1928,Bayside City Council,-37.98376,145.04501,Southern Metropolitan,5366,93,2205.533597, ,558000,96763.00578
Beaumaris,145 Dalgetty Rd,4,h,1550000,S,3/03/2018,17.3,3193,4,2,2,700,,,Bayside City Council,-37.98075,145.03856,Southern Metropolitan,5366, ,2214.285714, ,387500,89595.37572
Beaumaris,2 Point Av,3,h,3720000,S,3/03/2018,17.3,3193,3,,,1111,,,Bayside City Council,-37.98919,145.02977,Southern Metropolitan,5366, ,3348.334833, ,1240000,215028.9017
Beaumaris,180 Tramway Pde,4,h,1880000,S,3/03/2018,17.3,3193,4,3,4,689,132,1950,Bayside City Council,-37.98124,145.04465,Southern Metropolitan,5366,71,2728.592163,14242.42424,470000,108670.5202
